"BASF SE, Ludwigshafen a. Rhein, Germany"

,31/12/2008,31/12/2009,31/12/2010,31/12/2011,31/12/2012,31/12/2013,31/12/2014,31/12/2015,31/12/2016,31/12/2017,31/12/2018,31/12/2019,31/12/2020,31/12/2021,31/12/2022,31/12/2023,31/12/2024,31/12/2025
Currency,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
      a) Total Current Liabilities,"16,295,000,000.00","11,680,000,000.00","15,568,000,000.00","16,477,000,000.00","17,332,000,000.00","14,803,000,000.00","15,893,000,000.00","14,236,000,000.00","15,317,000,000.00","14,880,000,000.00","23,329,000,000.00","16,604,000,000.00","16,280,000,000.00","20,081,000,000.00","20,440,000,000.00","15,871,000,000.00","17,039,000,000.00","16,411,000,000.00"
         aa) Deferred Revenue,"5,455,000,000.00","4,673,000,000.00","5,918,000,000.00","4,248,000,000.00","7,481,000,000.00","5,943,000,000.00","6,011,000,000.00","4,719,000,000.00","5,661,000,000.00","5,594,000,000.00","695,000,000.00","6,172,000,000.00","5,899,000,000.00","6,989,000,000.00","1,016,000,000.00",0.00,"803,000,000.00",0.00
         ab) Account Payables,"2,734,000,000.00","2,838,000,000.00","4,738,000,000.00","4,827,000,000.00","5,781,000,000.00","5,153,000,000.00","4,861,000,000.00","4,020,000,000.00","4,610,000,000.00","4,971,000,000.00","5,122,000,000.00","5,087,000,000.00","5,291,000,000.00","7,826,000,000.00","8,434,000,000.00","6,741,000,000.00","6,923,000,000.00","5,484,000,000.00"
         ac) Short Term Debt,"6,239,000,000.00","2,393,000,000.00","3,379,000,000.00","3,843,000,000.00","4,105,000,000.00","3,553,000,000.00","3,867,000,000.00","4,427,000,000.00","3,988,000,000.00","2,734,000,000.00","5,939,000,000.00","4,277,000,000.00","4,312,000,000.00","4,259,000,000.00","4,598,000,000.00","2,947,000,000.00","3,540,000,000.00","3,509,000,000.00"
         ad) Other Current Liabilities,"6,462,000,000.00","5,446,000,000.00","6,681,000,000.00","6,769,000,000.00","6,366,000,000.00","5,016,000,000.00","5,932,000,000.00","4,636,000,000.00","5,365,000,000.00","5,978,000,000.00","11,507,000,000.00","6,398,000,000.00","5,611,000,000.00","5,814,000,000.00","5,397,000,000.00","5,824,000,000.00","5,369,000,000.00","7,418,000,000.00"
      b) Total Non Current Liabilities,"15,843,000,000.00","20,979,000,000.00","21,168,000,000.00","19,313,000,000.00","21,191,000,000.00","21,790,000,000.00","27,271,000,000.00","25,055,000,000.00","28,611,000,000.00","29,132,000,000.00","27,118,000,000.00","27,996,000,000.00","29,614,000,000.00","25,221,000,000.00","23,109,000,000.00","24,879,000,000.00","26,493,000,000.00","27,273,000,000.00"
         ba) Long Term Debt,"8,355,000,000.00","12,506,000,000.00","11,719,000,000.00","9,069,000,000.00","8,766,000,000.00","11,688,000,000.00","12,542,000,000.00","11,448,000,000.00","12,909,000,000.00","15,917,000,000.00","15,498,000,000.00","16,104,000,000.00","16,882,000,000.00","14,877,000,000.00","16,351,000,000.00","18,400,000,000.00","20,455,000,000.00","20,912,000,000.00"
         bb) Deferred Revenue Non Current,"163,000,000.00","182,000,000.00","203,000,000.00","6,524,000,000.00","39,000,000.00","169,000,000.00","179,000,000.00","163,000,000.00","171,000,000.00","197,000,000.00","178,000,000.00","272,000,000.00","217,000,000.00","218,000,000.00","192,000,000.00","160,000,000.00","217,000,000.00","238,000,000.00"
         bc) Deferred Tax Liabilities Not Current,"2,167,000,000.00","2,093,000,000.00","2,467,000,000.00","2,628,000,000.00","2,511,000,000.00","2,849,000,000.00","3,420,000,000.00","3,381,000,000.00","3,317,000,000.00","2,731,000,000.00","1,787,000,000.00","2,280,000,000.00","2,034,000,000.00","1,914,000,000.00","1,873,000,000.00","1,475,000,000.00","1,340,000,000.00","2,800,000,000.00"
         bd) Other Non Current Liabilities,"5,158,000,000.00","6,198,000,000.00","6,779,000,000.00","7,039,000,000.00","10,096,000,000.00","10,102,000,000.00","11,130,000,000.00","10,063,000,000.00","12,214,000,000.00","10,287,000,000.00","9,655,000,000.00","9,340,000,000.00","10,481,000,000.00","8,212,000,000.00","4,693,000,000.00","4,844,000,000.00","4,481,000,000.00","3,323,000,000.00"
      c) Other Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,"14,800,000,000.00",0.00,"15,786,000,000.00",0.00,"11,711,000,000.00",0.00,0.00,0.00,"7,917,000,000.00",0.00,0.00,0.00
   II. Total Equity,"18,722,000,000.00","18,609,000,000.00","22,657,000,000.00","25,385,000,000.00","25,804,000,000.00","27,789,000,000.00","28,195,000,000.00","31,545,000,000.00","32,568,000,000.00","34,756,000,000.00","36,109,000,000.00","42,350,000,000.00","34,398,000,000.00","42,081,000,000.00","40,923,000,000.00","36,645,000,000.00","36,883,000,000.00","34,337,000,000.00"
      a) Common Stock,"1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,176,000,000.00","1,144,000,000.00","1,142,000,000.00","1,142,000,000.00","1,142,000,000.00"
      b) Preferred Stock,0.00,0.00,0.00,0.00,0.00,0.00,"2,339,000,000.00",0.00,"3,389,000,000.00",0.00,"878,000,000.00",0.00,"7,573,000,000.00","2,896,000,000.00",0.00,0.00,0.00,0.00
      c) Retained Earnings,"13,250,000,000.00","12,916,000,000.00","15,817,000,000.00","19,446,000,000.00","20,106,000,000.00","26,170,000,000.00","28,777,000,000.00","30,120,000,000.00","31,515,000,000.00","34,826,000,000.00","36,699,000,000.00","42,056,000,000.00","37,911,000,000.00","40,365,000,000.00","35,453,000,000.00","32,517,000,000.00","30,883,000,000.00","28,820,000,000.00"
      d) Accumulated Other Comprehensive Income Loss,0.00,0.00,0.00,0.00,0.00,"-3,400,000,000.00","-5,482,000,000.00","-2,927,000,000.00","-3,389,000,000.00","-4,604,000,000.00","-5,172,000,000.00","-4,020,000,000.00","-7,573,000,000.00","-2,896,000,000.00","861,000,000.00","1,618,000,000.00","1,523,000,000.00","101,000,000.00"
      e) Other Total Stockholders Equity,"3,565,000,000.00","3,229,000,000.00","3,216,000,000.00","3,936,000,000.00","6,349,000,000.00","3,165,000,000.00","3,143,000,000.00","3,141,000,000.00","3,130,000,000.00","-4,604,000,000.00","-5,172,000,000.00",0.00,"-7,573,000,000.00","-749,000,000.00","2,976,000,000.00","1,618,000,000.00","3,139,000,000.00","3,131,000,000.00"

Source,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data
